Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,SIFT,MAT_FLANN,SEL_NN,12.5156,15.0893
ORB,SIFT,MAT_FLANN,SEL_NN,12.6142,13.0953
ORB,SIFT,MAT_FLANN,SEL_NN,14.091,24.1686
ORB,SIFT,MAT_FLANN,SEL_NN,16.6894,-inf
ORB,SIFT,MAT_FLANN,SEL_NN,15.7465,24.4933
ORB,SIFT,MAT_FLANN,SEL_NN,12.7835,71.9201
ORB,SIFT,MAT_FLANN,SEL_NN,11.9844,13.7831
ORB,SIFT,MAT_FLANN,SEL_NN,13.1241,10.196
ORB,SIFT,MAT_FLANN,SEL_NN,13.0241,12.9284
ORB,SIFT,MAT_FLANN,SEL_NN,11.1746,16.7855
ORB,SIFT,MAT_FLANN,SEL_NN,12.8086,9.20223
ORB,SIFT,MAT_FLANN,SEL_NN,8.95978,-inf
ORB,SIFT,MAT_FLANN,SEL_NN,9.96439,39.4533
ORB,SIFT,MAT_FLANN,SEL_NN,9.59863,519.592
ORB,SIFT,MAT_FLANN,SEL_NN,8.52157,-inf
ORB,SIFT,MAT_FLANN,SEL_NN,9.61241,25.5645
ORB,SIFT,MAT_FLANN,SEL_NN,8.3988,17.0851
