Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,BRISK,MAT_BF,SEL_KNN,12.5156,12.6908
FAST,BRISK,MAT_BF,SEL_KNN,12.6142,12.3534
FAST,BRISK,MAT_BF,SEL_KNN,14.091,12.3379
FAST,BRISK,MAT_BF,SEL_KNN,16.6894,12.7
FAST,BRISK,MAT_BF,SEL_KNN,15.7465,13.8295
FAST,BRISK,MAT_BF,SEL_KNN,12.7835,12.1823
FAST,BRISK,MAT_BF,SEL_KNN,11.9844,12.9291
FAST,BRISK,MAT_BF,SEL_KNN,13.1241,12.3971
FAST,BRISK,MAT_BF,SEL_KNN,13.0241,12.4101
FAST,BRISK,MAT_BF,SEL_KNN,11.1746,13.8281
FAST,BRISK,MAT_BF,SEL_KNN,12.8086,12.0998
FAST,BRISK,MAT_BF,SEL_KNN,8.95978,12.5922
FAST,BRISK,MAT_BF,SEL_KNN,9.96439,11.6909
FAST,BRISK,MAT_BF,SEL_KNN,9.59863,11.5016
FAST,BRISK,MAT_BF,SEL_KNN,8.52157,11.1439
FAST,BRISK,MAT_BF,SEL_KNN,9.51552,11.1636
FAST,BRISK,MAT_BF,SEL_KNN,9.61241,10.5169
FAST,BRISK,MAT_BF,SEL_KNN,8.3988,11.7624
