Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,BRISK,MAT_BF,SEL_NN,12.5156,-0.600007
SIFT,BRISK,MAT_BF,SEL_NN,12.6142,53.9673
SIFT,BRISK,MAT_BF,SEL_NN,14.091,40.9883
SIFT,BRISK,MAT_BF,SEL_NN,16.6894,-0.399433
SIFT,BRISK,MAT_BF,SEL_NN,15.7465,-0.491808
SIFT,BRISK,MAT_BF,SEL_NN,12.7835,25.1454
SIFT,BRISK,MAT_BF,SEL_NN,11.9844,-0.314293
SIFT,BRISK,MAT_BF,SEL_NN,13.1241,36.9936
SIFT,BRISK,MAT_BF,SEL_NN,13.0241,31.6807
SIFT,BRISK,MAT_BF,SEL_NN,11.1746,-1.60085
SIFT,BRISK,MAT_BF,SEL_NN,12.8086,25.3401
SIFT,BRISK,MAT_BF,SEL_NN,8.95978,21.2164
SIFT,BRISK,MAT_BF,SEL_NN,9.96439,-0.420678
SIFT,BRISK,MAT_BF,SEL_NN,9.59863,-0.52088
SIFT,BRISK,MAT_BF,SEL_NN,8.52157,35.7432
SIFT,BRISK,MAT_BF,SEL_NN,9.51552,25.7636
SIFT,BRISK,MAT_BF,SEL_NN,9.61241,17.9505
SIFT,BRISK,MAT_BF,SEL_NN,8.3988,14.7252
