Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,BRIEF,MAT_FLANN,SEL_NN,12.5156,19.5323
BRISK,BRIEF,MAT_FLANN,SEL_NN,12.6142,26.3919
BRISK,BRIEF,MAT_FLANN,SEL_NN,14.091,13.207
BRISK,BRIEF,MAT_FLANN,SEL_NN,16.6894,25.2376
BRISK,BRIEF,MAT_FLANN,SEL_NN,15.7465,28.0545
BRISK,BRIEF,MAT_FLANN,SEL_NN,12.7835,23.9741
BRISK,BRIEF,MAT_FLANN,SEL_NN,11.9844,21.2838
BRISK,BRIEF,MAT_FLANN,SEL_NN,13.1241,22.0276
BRISK,BRIEF,MAT_FLANN,SEL_NN,13.0241,16.8923
BRISK,BRIEF,MAT_FLANN,SEL_NN,11.1746,15.1879
BRISK,BRIEF,MAT_FLANN,SEL_NN,12.8086,12.205
BRISK,BRIEF,MAT_FLANN,SEL_NN,8.95978,15.3997
BRISK,BRIEF,MAT_FLANN,SEL_NN,9.96439,14.6545
BRISK,BRIEF,MAT_FLANN,SEL_NN,9.59863,10.6695
BRISK,BRIEF,MAT_FLANN,SEL_NN,8.52157,12.5334
BRISK,BRIEF,MAT_FLANN,SEL_NN,9.51552,14.2406
BRISK,BRIEF,MAT_FLANN,SEL_NN,9.61241,11.4484
BRISK,BRIEF,MAT_FLANN,SEL_NN,8.3988,10.3266
