Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,12.5156,-0.485915
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,12.6142,-1.15226
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,14.091,-inf
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,16.6894,-inf
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,15.7465,-inf
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,12.7835,-inf
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,11.9844,-inf
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,13.1241,-inf
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,13.0241,42.8128
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,11.1746,-4.13728
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,12.8086,13.4414
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,8.95978,-0.517483
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,9.96439,15.7915
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,9.59863,34.488
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,8.52157,-1.36614
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,9.51552,14.3445
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,9.61241,15.1799
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,8.3988,12.1609
