Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,SIFT,MAT_BF,SEL_KNN,-0.680202,-0.961783
BRISK,SIFT,MAT_BF,SEL_KNN,12.5156,12.9834
BRISK,SIFT,MAT_BF,SEL_KNN,12.6142,16.0654
BRISK,SIFT,MAT_BF,SEL_KNN,14.091,16.6949
BRISK,SIFT,MAT_BF,SEL_KNN,16.6894,12.5648
BRISK,SIFT,MAT_BF,SEL_KNN,15.7465,26.358
BRISK,SIFT,MAT_BF,SEL_KNN,12.7835,14.504
BRISK,SIFT,MAT_BF,SEL_KNN,11.9844,13.9999
BRISK,SIFT,MAT_BF,SEL_KNN,13.1241,17.0295
BRISK,SIFT,MAT_BF,SEL_KNN,13.0241,17.8988
BRISK,SIFT,MAT_BF,SEL_KNN,11.1746,14.6452
BRISK,SIFT,MAT_BF,SEL_KNN,12.8086,15.9857
BRISK,SIFT,MAT_BF,SEL_KNN,8.95978,11.7122
BRISK,SIFT,MAT_BF,SEL_KNN,9.96439,13.3127
BRISK,SIFT,MAT_BF,SEL_KNN,9.59863,10.5612
BRISK,SIFT,MAT_BF,SEL_KNN,8.52157,14.2108
BRISK,SIFT,MAT_BF,SEL_KNN,9.51552,11.0452
BRISK,SIFT,MAT_BF,SEL_KNN,9.61241,10.1474
BRISK,SIFT,MAT_BF,SEL_KNN,8.3988,12.3189
