Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,SIFT,MAT_FLANN,SEL_KNN,-0.680202,-1.07999
BRISK,SIFT,MAT_FLANN,SEL_KNN,12.5156,12.9389
BRISK,SIFT,MAT_FLANN,SEL_KNN,12.6142,16.0856
BRISK,SIFT,MAT_FLANN,SEL_KNN,14.091,17.2877
BRISK,SIFT,MAT_FLANN,SEL_KNN,16.6894,14.444
BRISK,SIFT,MAT_FLANN,SEL_KNN,15.7465,29.6187
BRISK,SIFT,MAT_FLANN,SEL_KNN,12.7835,14.8626
BRISK,SIFT,MAT_FLANN,SEL_KNN,11.9844,14.5988
BRISK,SIFT,MAT_FLANN,SEL_KNN,13.1241,15.3987
BRISK,SIFT,MAT_FLANN,SEL_KNN,13.0241,17.0622
BRISK,SIFT,MAT_FLANN,SEL_KNN,11.1746,13.8388
BRISK,SIFT,MAT_FLANN,SEL_KNN,12.8086,14.9097
BRISK,SIFT,MAT_FLANN,SEL_KNN,8.95978,11.6513
BRISK,SIFT,MAT_FLANN,SEL_KNN,9.96439,13.2237
BRISK,SIFT,MAT_FLANN,SEL_KNN,9.59863,10.2134
BRISK,SIFT,MAT_FLANN,SEL_KNN,8.52157,15.0422
BRISK,SIFT,MAT_FLANN,SEL_KNN,9.51552,11.1467
BRISK,SIFT,MAT_FLANN,SEL_KNN,9.61241,9.8098
BRISK,SIFT,MAT_FLANN,SEL_KNN,8.3988,12.3655
