Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,FREAK,MAT_BF,SEL_NN,12.5156,25.5757
BRISK,FREAK,MAT_BF,SEL_NN,12.6142,-380.944
BRISK,FREAK,MAT_BF,SEL_NN,14.091,25.1321
BRISK,FREAK,MAT_BF,SEL_NN,16.6894,22.7149
BRISK,FREAK,MAT_BF,SEL_NN,15.7465,52.7682
BRISK,FREAK,MAT_BF,SEL_NN,12.7835,16.3304
BRISK,FREAK,MAT_BF,SEL_NN,11.9844,25.3066
BRISK,FREAK,MAT_BF,SEL_NN,13.1241,28.8678
BRISK,FREAK,MAT_BF,SEL_NN,13.0241,20.63
BRISK,FREAK,MAT_BF,SEL_NN,11.1746,22.0802
BRISK,FREAK,MAT_BF,SEL_NN,12.8086,16.0114
BRISK,FREAK,MAT_BF,SEL_NN,8.95978,24.9562
BRISK,FREAK,MAT_BF,SEL_NN,9.96439,17.2955
BRISK,FREAK,MAT_BF,SEL_NN,9.59863,13.7256
BRISK,FREAK,MAT_BF,SEL_NN,8.52157,14.4003
BRISK,FREAK,MAT_BF,SEL_NN,9.51552,14.0273
BRISK,FREAK,MAT_BF,SEL_NN,9.61241,10.0495
BRISK,FREAK,MAT_BF,SEL_NN,8.3988,14.271
