Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,FREAK,MAT_BF,SEL_NN,12.5156,-0.690379
SHITOMASI,FREAK,MAT_BF,SEL_NN,12.6142,-1.92935
SHITOMASI,FREAK,MAT_BF,SEL_NN,14.091,31.5217
SHITOMASI,FREAK,MAT_BF,SEL_NN,16.6894,-inf
SHITOMASI,FREAK,MAT_BF,SEL_NN,15.7465,294.294
SHITOMASI,FREAK,MAT_BF,SEL_NN,12.7835,-inf
SHITOMASI,FREAK,MAT_BF,SEL_NN,11.9844,-inf
SHITOMASI,FREAK,MAT_BF,SEL_NN,13.1241,-inf
SHITOMASI,FREAK,MAT_BF,SEL_NN,13.0241,-inf
SHITOMASI,FREAK,MAT_BF,SEL_NN,11.1746,-10.1637
SHITOMASI,FREAK,MAT_BF,SEL_NN,12.8086,13.7312
SHITOMASI,FREAK,MAT_BF,SEL_NN,8.95978,-1.28216
SHITOMASI,FREAK,MAT_BF,SEL_NN,9.96439,15.2312
SHITOMASI,FREAK,MAT_BF,SEL_NN,9.59863,54.8363
SHITOMASI,FREAK,MAT_BF,SEL_NN,8.52157,-1.22774
SHITOMASI,FREAK,MAT_BF,SEL_NN,9.51552,14.9962
SHITOMASI,FREAK,MAT_BF,SEL_NN,9.61241,14.6962
SHITOMASI,FREAK,MAT_BF,SEL_NN,8.3988,11.5062
