Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,FREAK,MAT_FLANN,SEL_KNN,-0.680202,-0.647785
FAST,FREAK,MAT_FLANN,SEL_KNN,12.5156,12.0538
FAST,FREAK,MAT_FLANN,SEL_KNN,12.6142,12.5571
FAST,FREAK,MAT_FLANN,SEL_KNN,14.091,13.2302
FAST,FREAK,MAT_FLANN,SEL_KNN,16.6894,13.8904
FAST,FREAK,MAT_FLANN,SEL_KNN,15.7465,13.0737
FAST,FREAK,MAT_FLANN,SEL_KNN,12.7835,12.2185
FAST,FREAK,MAT_FLANN,SEL_KNN,11.9844,12.954
FAST,FREAK,MAT_FLANN,SEL_KNN,13.1241,12.5567
FAST,FREAK,MAT_FLANN,SEL_KNN,13.0241,12.8937
FAST,FREAK,MAT_FLANN,SEL_KNN,11.1746,12.8257
FAST,FREAK,MAT_FLANN,SEL_KNN,12.8086,12.2504
FAST,FREAK,MAT_FLANN,SEL_KNN,8.95978,12.1981
FAST,FREAK,MAT_FLANN,SEL_KNN,9.96439,11.6295
FAST,FREAK,MAT_FLANN,SEL_KNN,9.59863,11.0837
FAST,FREAK,MAT_FLANN,SEL_KNN,8.52157,11.1409
FAST,FREAK,MAT_FLANN,SEL_KNN,9.51552,11.2241
FAST,FREAK,MAT_FLANN,SEL_KNN,9.61241,10.3661
FAST,FREAK,MAT_FLANN,SEL_KNN,8.3988,11.5605
