Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,FREAK,MAT_BF,SEL_NN,12.5156,-2.87438
SIFT,FREAK,MAT_BF,SEL_NN,12.6142,28.5789
SIFT,FREAK,MAT_BF,SEL_NN,14.091,111.109
SIFT,FREAK,MAT_BF,SEL_NN,16.6894,-0.714372
SIFT,FREAK,MAT_BF,SEL_NN,15.7465,242.364
SIFT,FREAK,MAT_BF,SEL_NN,12.7835,-0.289576
SIFT,FREAK,MAT_BF,SEL_NN,11.9844,-0.265018
SIFT,FREAK,MAT_BF,SEL_NN,13.1241,-1.91009
SIFT,FREAK,MAT_BF,SEL_NN,13.0241,-3.88365
SIFT,FREAK,MAT_BF,SEL_NN,11.1746,19.6274
SIFT,FREAK,MAT_BF,SEL_NN,12.8086,-4.37165
SIFT,FREAK,MAT_BF,SEL_NN,8.95978,-0.964163
SIFT,FREAK,MAT_BF,SEL_NN,9.96439,14.1026
SIFT,FREAK,MAT_BF,SEL_NN,9.59863,19.423
SIFT,FREAK,MAT_BF,SEL_NN,8.52157,-0.301821
SIFT,FREAK,MAT_BF,SEL_NN,9.51552,19.5936
SIFT,FREAK,MAT_BF,SEL_NN,9.61241,10.3889
SIFT,FREAK,MAT_BF,SEL_NN,8.3988,16.1593
