Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,ORB,MAT_FLANN,SEL_NN,12.5156,14.0064
FAST,ORB,MAT_FLANN,SEL_NN,12.6142,12.9348
FAST,ORB,MAT_FLANN,SEL_NN,14.091,21.6026
FAST,ORB,MAT_FLANN,SEL_NN,16.6894,16.2376
FAST,ORB,MAT_FLANN,SEL_NN,15.7465,20.9978
FAST,ORB,MAT_FLANN,SEL_NN,12.7835,15.7769
FAST,ORB,MAT_FLANN,SEL_NN,11.9844,17.6124
FAST,ORB,MAT_FLANN,SEL_NN,13.1241,21.2019
FAST,ORB,MAT_FLANN,SEL_NN,13.0241,14.5435
FAST,ORB,MAT_FLANN,SEL_NN,11.1746,14.8251
FAST,ORB,MAT_FLANN,SEL_NN,12.8086,12.8249
FAST,ORB,MAT_FLANN,SEL_NN,8.95978,12.2277
FAST,ORB,MAT_FLANN,SEL_NN,9.96439,13.6277
FAST,ORB,MAT_FLANN,SEL_NN,9.59863,11.4661
FAST,ORB,MAT_FLANN,SEL_NN,8.52157,12.1527
FAST,ORB,MAT_FLANN,SEL_NN,9.51552,11.6232
FAST,ORB,MAT_FLANN,SEL_NN,9.61241,11.4744
FAST,ORB,MAT_FLANN,SEL_NN,8.3988,12.5199
