Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,BRISK,MAT_BF,SEL_KNN,12.5156,11.6767
SIFT,BRISK,MAT_BF,SEL_KNN,12.6142,13.3443
SIFT,BRISK,MAT_BF,SEL_KNN,14.091,14.488
SIFT,BRISK,MAT_BF,SEL_KNN,16.6894,18.9447
SIFT,BRISK,MAT_BF,SEL_KNN,15.7465,14.9068
SIFT,BRISK,MAT_BF,SEL_KNN,12.7835,11.551
SIFT,BRISK,MAT_BF,SEL_KNN,11.9844,14.3811
SIFT,BRISK,MAT_BF,SEL_KNN,13.1241,15.5638
SIFT,BRISK,MAT_BF,SEL_KNN,13.0241,13.0599
SIFT,BRISK,MAT_BF,SEL_KNN,11.1746,10.8588
SIFT,BRISK,MAT_BF,SEL_KNN,12.8086,13.2357
SIFT,BRISK,MAT_BF,SEL_KNN,8.95978,10.2975
SIFT,BRISK,MAT_BF,SEL_KNN,9.96439,9.99995
SIFT,BRISK,MAT_BF,SEL_KNN,9.59863,9.55221
SIFT,BRISK,MAT_BF,SEL_KNN,8.52157,9.46445
SIFT,BRISK,MAT_BF,SEL_KNN,9.51552,8.76959
SIFT,BRISK,MAT_BF,SEL_KNN,9.61241,9.5271
SIFT,BRISK,MAT_BF,SEL_KNN,8.3988,9.32687
