Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,ORB,MAT_FLANN,SEL_KNN,-0.680202,-0.70545
FAST,ORB,MAT_FLANN,SEL_KNN,12.5156,11.342
FAST,ORB,MAT_FLANN,SEL_KNN,12.6142,12.4368
FAST,ORB,MAT_FLANN,SEL_KNN,14.091,12.2277
FAST,ORB,MAT_FLANN,SEL_KNN,16.6894,12.6846
FAST,ORB,MAT_FLANN,SEL_KNN,15.7465,13.2618
FAST,ORB,MAT_FLANN,SEL_KNN,12.7835,12.5572
FAST,ORB,MAT_FLANN,SEL_KNN,11.9844,13.8434
FAST,ORB,MAT_FLANN,SEL_KNN,13.1241,13.0456
FAST,ORB,MAT_FLANN,SEL_KNN,13.0241,12.3288
FAST,ORB,MAT_FLANN,SEL_KNN,11.1746,13.011
FAST,ORB,MAT_FLANN,SEL_KNN,12.8086,11.9072
FAST,ORB,MAT_FLANN,SEL_KNN,8.95978,11.2972
FAST,ORB,MAT_FLANN,SEL_KNN,9.96439,11.7216
FAST,ORB,MAT_FLANN,SEL_KNN,9.59863,10.7766
FAST,ORB,MAT_FLANN,SEL_KNN,8.52157,10.5467
FAST,ORB,MAT_FLANN,SEL_KNN,9.51552,10.1523
FAST,ORB,MAT_FLANN,SEL_KNN,9.61241,9.25534
FAST,ORB,MAT_FLANN,SEL_KNN,8.3988,11.3881
