Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,FREAK,MAT_FLANN,SEL_NN,12.5156,-1.13232
SIFT,FREAK,MAT_FLANN,SEL_NN,12.6142,24.3936
SIFT,FREAK,MAT_FLANN,SEL_NN,14.091,50.2669
SIFT,FREAK,MAT_FLANN,SEL_NN,16.6894,-0.636489
SIFT,FREAK,MAT_FLANN,SEL_NN,15.7465,242.364
SIFT,FREAK,MAT_FLANN,SEL_NN,12.7835,-0.285697
SIFT,FREAK,MAT_FLANN,SEL_NN,11.9844,-0.295639
SIFT,FREAK,MAT_FLANN,SEL_NN,13.1241,-0.927657
SIFT,FREAK,MAT_FLANN,SEL_NN,13.0241,-5.04418
SIFT,FREAK,MAT_FLANN,SEL_NN,11.1746,-0.686202
SIFT,FREAK,MAT_FLANN,SEL_NN,12.8086,-1.66385
SIFT,FREAK,MAT_FLANN,SEL_NN,8.95978,-10.6548
SIFT,FREAK,MAT_FLANN,SEL_NN,9.96439,13.5733
SIFT,FREAK,MAT_FLANN,SEL_NN,9.59863,13.1082
SIFT,FREAK,MAT_FLANN,SEL_NN,8.52157,-0.366163
SIFT,FREAK,MAT_FLANN,SEL_NN,9.51552,-40.6957
SIFT,FREAK,MAT_FLANN,SEL_NN,9.61241,11.2387
SIFT,FREAK,MAT_FLANN,SEL_NN,8.3988,39.3124
