Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,SIFT,MAT_FLANN,SEL_NN,-0.680202,-0.639094
FAST,SIFT,MAT_FLANN,SEL_NN,12.5156,12.363
FAST,SIFT,MAT_FLANN,SEL_NN,12.6142,12.4167
FAST,SIFT,MAT_FLANN,SEL_NN,14.091,17.2097
FAST,SIFT,MAT_FLANN,SEL_NN,16.6894,14.338
FAST,SIFT,MAT_FLANN,SEL_NN,15.7465,18.2744
FAST,SIFT,MAT_FLANN,SEL_NN,12.7835,13.6962
FAST,SIFT,MAT_FLANN,SEL_NN,11.9844,13.6059
FAST,SIFT,MAT_FLANN,SEL_NN,13.1241,13.6511
FAST,SIFT,MAT_FLANN,SEL_NN,13.0241,12.4087
FAST,SIFT,MAT_FLANN,SEL_NN,11.1746,13.1647
FAST,SIFT,MAT_FLANN,SEL_NN,12.8086,11.5887
FAST,SIFT,MAT_FLANN,SEL_NN,8.95978,11.7438
FAST,SIFT,MAT_FLANN,SEL_NN,9.96439,11.6909
FAST,SIFT,MAT_FLANN,SEL_NN,9.59863,11.14
FAST,SIFT,MAT_FLANN,SEL_NN,8.52157,10.592
FAST,SIFT,MAT_FLANN,SEL_NN,9.51552,10.4963
FAST,SIFT,MAT_FLANN,SEL_NN,9.61241,10.3629
FAST,SIFT,MAT_FLANN,SEL_NN,8.3988,11.084
