Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,BRISK,MAT_FLANN,SEL_KNN,12.5156,16.7261
ORB,BRISK,MAT_FLANN,SEL_KNN,12.6142,12.9679
ORB,BRISK,MAT_FLANN,SEL_KNN,15.7465,77.2579
ORB,BRISK,MAT_FLANN,SEL_KNN,12.7835,11.8929
ORB,BRISK,MAT_FLANN,SEL_KNN,11.9844,16.7346
ORB,BRISK,MAT_FLANN,SEL_KNN,13.0241,13.1285
ORB,BRISK,MAT_FLANN,SEL_KNN,11.1746,19.472
ORB,BRISK,MAT_FLANN,SEL_KNN,12.8086,8.25953
ORB,BRISK,MAT_FLANN,SEL_KNN,8.95978,-inf
ORB,BRISK,MAT_FLANN,SEL_KNN,9.96439,9.47182
ORB,BRISK,MAT_FLANN,SEL_KNN,9.59863,9.58532
ORB,BRISK,MAT_FLANN,SEL_KNN,8.52157,8.72363
ORB,BRISK,MAT_FLANN,SEL_KNN,9.61241,12.4886
ORB,BRISK,MAT_FLANN,SEL_KNN,8.3988,25.6678
