Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,BRISK,MAT_FLANN,SEL_NN,12.5156,29.2906
BRISK,BRISK,MAT_FLANN,SEL_NN,12.6142,51.1715
BRISK,BRISK,MAT_FLANN,SEL_NN,14.091,19.1909
BRISK,BRISK,MAT_FLANN,SEL_NN,16.6894,34.1562
BRISK,BRISK,MAT_FLANN,SEL_NN,15.7465,41.8968
BRISK,BRISK,MAT_FLANN,SEL_NN,12.7835,96.1313
BRISK,BRISK,MAT_FLANN,SEL_NN,11.9844,59.7337
BRISK,BRISK,MAT_FLANN,SEL_NN,13.1241,30.4978
BRISK,BRISK,MAT_FLANN,SEL_NN,13.0241,21.3845
BRISK,BRISK,MAT_FLANN,SEL_NN,11.1746,45.0166
BRISK,BRISK,MAT_FLANN,SEL_NN,12.8086,27.1348
BRISK,BRISK,MAT_FLANN,SEL_NN,8.95978,27.9393
BRISK,BRISK,MAT_FLANN,SEL_NN,9.96439,13.9009
BRISK,BRISK,MAT_FLANN,SEL_NN,9.59863,19.8361
BRISK,BRISK,MAT_FLANN,SEL_NN,8.52157,17.4466
BRISK,BRISK,MAT_FLANN,SEL_NN,9.51552,15.4334
BRISK,BRISK,MAT_FLANN,SEL_NN,9.61241,12.2657
BRISK,BRISK,MAT_FLANN,SEL_NN,8.3988,15.8365
