Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,ORB,MAT_BF,SEL_NN,12.5156,15.3991
SHITOMASI,ORB,MAT_BF,SEL_NN,12.6142,12.1318
SHITOMASI,ORB,MAT_BF,SEL_NN,14.091,15.9056
SHITOMASI,ORB,MAT_BF,SEL_NN,16.6894,13.971
SHITOMASI,ORB,MAT_BF,SEL_NN,15.7465,13.5467
SHITOMASI,ORB,MAT_BF,SEL_NN,12.7835,17.2868
SHITOMASI,ORB,MAT_BF,SEL_NN,11.9844,16.5009
SHITOMASI,ORB,MAT_BF,SEL_NN,13.1241,13.4099
SHITOMASI,ORB,MAT_BF,SEL_NN,13.0241,13.103
SHITOMASI,ORB,MAT_BF,SEL_NN,11.1746,19.1774
SHITOMASI,ORB,MAT_BF,SEL_NN,12.8086,12.7884
SHITOMASI,ORB,MAT_BF,SEL_NN,8.95978,11.6118
SHITOMASI,ORB,MAT_BF,SEL_NN,9.96439,12.6502
SHITOMASI,ORB,MAT_BF,SEL_NN,9.59863,12.0642
SHITOMASI,ORB,MAT_BF,SEL_NN,8.52157,11.2036
SHITOMASI,ORB,MAT_BF,SEL_NN,9.51552,10.9372
SHITOMASI,ORB,MAT_BF,SEL_NN,9.61241,10.5154
SHITOMASI,ORB,MAT_BF,SEL_NN,8.3988,8.02811
