Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,BRISK,MAT_BF,SEL_NN,12.5156,-0.838967
SHITOMASI,BRISK,MAT_BF,SEL_NN,12.6142,-46.6734
SHITOMASI,BRISK,MAT_BF,SEL_NN,14.091,-1.33021
SHITOMASI,BRISK,MAT_BF,SEL_NN,16.6894,-0.322125
SHITOMASI,BRISK,MAT_BF,SEL_NN,15.7465,-2.39595
SHITOMASI,BRISK,MAT_BF,SEL_NN,12.7835,-10.6638
SHITOMASI,BRISK,MAT_BF,SEL_NN,11.9844,-inf
SHITOMASI,BRISK,MAT_BF,SEL_NN,13.1241,-1.09513
SHITOMASI,BRISK,MAT_BF,SEL_NN,13.0241,18.3625
SHITOMASI,BRISK,MAT_BF,SEL_NN,11.1746,-1.50602
SHITOMASI,BRISK,MAT_BF,SEL_NN,12.8086,-1.12676
SHITOMASI,BRISK,MAT_BF,SEL_NN,8.95978,50.0091
SHITOMASI,BRISK,MAT_BF,SEL_NN,9.96439,-0.862186
SHITOMASI,BRISK,MAT_BF,SEL_NN,9.59863,24.4198
SHITOMASI,BRISK,MAT_BF,SEL_NN,8.52157,14.5119
SHITOMASI,BRISK,MAT_BF,SEL_NN,9.51552,-0.241648
SHITOMASI,BRISK,MAT_BF,SEL_NN,9.61241,-inf
SHITOMASI,BRISK,MAT_BF,SEL_NN,8.3988,12.3812
