Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,12.5156,51.1383
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,12.6142,50.0637
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,14.091,11.5714
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,16.6894,20.5058
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,15.7465,13.092
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,12.7835,12.9193
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,11.9844,34.6969
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,13.1241,13.5835
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,13.0241,12.1911
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,11.1746,16.3129
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,12.8086,11.7992
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,8.95978,13.677
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,9.96439,12.4428
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,9.59863,11.7964
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,8.52157,16.5046
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,9.51552,11.5476
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,9.61241,11.1608
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,8.3988,10.287
