Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,BRIEF,MAT_FLANN,SEL_NN,12.5156,12.9781
ORB,BRIEF,MAT_FLANN,SEL_NN,12.6142,17.0278
ORB,BRIEF,MAT_FLANN,SEL_NN,14.091,86.6454
ORB,BRIEF,MAT_FLANN,SEL_NN,16.6894,482.137
ORB,BRIEF,MAT_FLANN,SEL_NN,15.7465,38.024
ORB,BRIEF,MAT_FLANN,SEL_NN,12.7835,19.5976
ORB,BRIEF,MAT_FLANN,SEL_NN,11.9844,77.6427
ORB,BRIEF,MAT_FLANN,SEL_NN,13.1241,55.2338
ORB,BRIEF,MAT_FLANN,SEL_NN,13.0241,15.5476
ORB,BRIEF,MAT_FLANN,SEL_NN,11.1746,10.6893
ORB,BRIEF,MAT_FLANN,SEL_NN,12.8086,10.4394
ORB,BRIEF,MAT_FLANN,SEL_NN,8.95978,20.7697
ORB,BRIEF,MAT_FLANN,SEL_NN,9.96439,10.4454
ORB,BRIEF,MAT_FLANN,SEL_NN,9.59863,9.63701
ORB,BRIEF,MAT_FLANN,SEL_NN,8.52157,10.1008
ORB,BRIEF,MAT_FLANN,SEL_NN,9.51552,13.857
ORB,BRIEF,MAT_FLANN,SEL_NN,9.61241,15.6675
ORB,BRIEF,MAT_FLANN,SEL_NN,8.3988,14.9451
